x    bits                                                sight  spec  closed_form
227  FRAMED+SCARCE+TOUCHED+SMALL+UBIQUITOUS             0      0     0
228  LITERAL+TOUCHED+SMALL+UBIQUITOUS                   0      0     0
229  FRAMED+LITERAL+TOUCHED+SMALL+UBIQUITOUS            0      0     0
230  SCARCE+LITERAL+TOUCHED+SMALL+UBIQUITOUS            0      0     0
231  FRAMED+SCARCE+LITERAL+TOUCHED+SMALL+UBIQUITOUS     0      0     0
232  FAILONLY+TOUCHED+SMALL+UBIQUITOUS                  3      3     3
233  FRAMED+FAILONLY+TOUCHED+SMALL+UBIQUITOUS           0      0     0
234  SCARCE+FAILONLY+TOUCHED+SMALL+UBIQUITOUS           0      0     0
235  FRAMED+SCARCE+FAILONLY+TOUCHED+SMALL+UBIQUITOUS    0      0     0
236  LITERAL+FAILONLY+TOUCHED+SMALL+UBIQUITOUS          0      0     0
237  FRAMED+LITERAL+FAILONLY+TOUCHED+SMALL+UBIQUITOUS   0      0     0
238  SCARCE+LITERAL+FAILONLY+TOUCHED+SMALL+UBIQUITOUS   0      0     0
239  FRAMED+SCARCE+LITERAL+FAILONLY+TOUCHED+SMALL+UBIQUITOUS 0      0     0
240  NAMED+TOUCHED+SMALL+UBIQUITOUS                     4      4     4
241  FRAMED+NAMED+TOUCHED+SMALL+UBIQUITOUS              0      0     0
242  SCARCE+NAMED+TOUCHED+SMALL+UBIQUITOUS              0      0     0
243  FRAMED+SCARCE+NAMED+TOUCHED+SMALL+UBIQUITOUS       0      0     0
244  LITERAL+NAMED+TOUCHED+SMALL+UBIQUITOUS             0      0     0
245  FRAMED+LITERAL+NAMED+TOUCHED+SMALL+UBIQUITOUS      0      0     0
246  SCARCE+LITERAL+NAMED+TOUCHED+SMALL+UBIQUITOUS      0      0     0
247  FRAMED+SCARCE+LITERAL+NAMED+TOUCHED+SMALL+UBIQUITOUS 0      0     0
248  FAILONLY+NAMED+TOUCHED+SMALL+UBIQUITOUS            3      3     3
249  FRAMED+FAILONLY+NAMED+TOUCHED+SMALL+UBIQUITOUS     0      0     0
250  SCARCE+FAILONLY+NAMED+TOUCHED+SMALL+UBIQUITOUS     0      0     0
251  FRAMED+SCARCE+FAILONLY+NAMED+TOUCHED+SMALL+UBIQUITOUS 0      0     0
252  LITERAL+FAILONLY+NAMED+TOUCHED+SMALL+UBIQUITOUS    0      0     0
253  FRAMED+LITERAL+FAILONLY+NAMED+TOUCHED+SMALL+UBIQUITOUS 0      0     0
254  SCARCE+LITERAL+FAILONLY+NAMED+TOUCHED+SMALL+UBIQUITOUS 0      0     0
255  FRAMED+SCARCE+LITERAL+FAILONLY+NAMED+TOUCHED+SMALL+UBIQUITOUS 0      0     0
